rowid,name,longitude,latitude,description,gx_media_links
32,"Clairemont, TX",-100.753233,33.167494,"Wikipedia (http://en.wikipedia.org/wiki/Clairemont,_Texas)


Zoom in on the road to Street View to see this jail.


Wikipedia Commons / CletusDitto (http://commons.wikimedia.org/w/index.php?title=User:CletusDitto&action=edit&redlink=1)",http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Clairemont_Texas_Abandoned_Jail.jpg/800px-Clairemont_Texas_Abandoned_Jail.jpg
33,"Council, AK",-163.676389,64.895,"Wikipedia (http://en.wikipedia.org/wiki/Council,_Alaska)",
34,"Creelsboro, KY",-85.19779399999999,36.885102,"Wikipedia (http://en.wikipedia.org/wiki/Creelsboro,_Kentucky)ξ



Wikipedia Commons / Public Domain",http://upload.wikimedia.org/wikipedia/en/thumb/a/af/Creelsboro.jpg/800px-Creelsboro.jpg
35,"Dale, MN",-96.219833,46.905282,"Wikipedia (http://en.wikipedia.org/wiki/Dale,_Minnesota)",
36,"Dawson, NM",-104.77498100000001,36.664443,"Wikipedia (http://en.wikipedia.org/wiki/Dawson,_New_Mexico)


Public Domain",http://upload.wikimedia.org/wikipedia/commons/3/37/Dawson%2C_NM%2C_%281916%29_Main_Street%2C.jpg
37,"Devonia, TN (Moore's Camp)",-84.38555600000001,36.148056,"Wikipedia (http://en.wikipedia.org/wiki/Devonia,_Tennessee)",
38,"Donnan, IA",-91.878056,42.896111,"Wikipedia (http://en.wikipedia.org/wiki/Donnan,_Iowa)",
39,"Dorchester, SC",-80.169722,32.948056,"Wikipedia (http://en.wikipedia.org/wiki/Dorchester,_South_Carolina)",
40,"Drawbridge, CA",-121.974002,37.465751000000004,"Wikipedia (http://en.wikipedia.org/wiki/Drawbridge,_California)

Wikipedia Commons / William Ward (http://flickr.com/photos/23501684@N00)",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Crossing_the_Bay_6.jpg/800px-Crossing_the_Bay_6.jpg
41,"Dyersville, CO",-105.983903,39.420365000000004,"Wikipedia (http://en.wikipedia.org/wiki/Dyersville,_Colorado)


Wikipedia Commons / Plazak (http://en.wikipedia.org/wiki/User:Plazak)",http://upload.wikimedia.org/wikipedia/commons/6/67/Dyerville1.jpg
42,"Eagle Mountain, CA",-115.48166699999999,33.854444,"Wikipedia (http://en.wikipedia.org/wiki/Eagle_Mountain,_California)",
43,"Eckley Miners' Village, PA",-75.862778,40.993333,Wikipedia (http://en.wikipedia.org/wiki/Eckley_Miners%27_Village),
44,"Elko Tract, VA",-77.237964,37.487016,Wikiipedia (http://en.wikipedia.org/wiki/Elko_Tract),
45,"Elkport, IA",-91.27555600000001,42.741111,"Wikipedia (http://en.wikipedia.org/wiki/Elkport,_Iowa)",
